推數,噓數,文章分數,文章作者,文章名稱,發表時間
0,0,0,norgthas (norgthas),[問卦]關於適應極端氣候的問題 醫森醫學系生請進,Wed Oct  7 21:32:04 2020
0,0,0,johnny9667 (大八),[問卦] 敢讓鄉民看到你的IG首頁嗎?,Fri Oct  2 15:40:29 2020
13,4,9,a520 (520),[新聞] 開嗆！不罰歐陽娜娜　柯批政府前後矛盾,Fri Oct  2 12:18:47 2020
3,1,2,zakijudelo (Zack),[問卦] 中共侵台，台灣黑道會是潛在內奸？,Fri Oct  2 12:22:32 2020
5,1,4,tony77998 (偷尼柒柒玖玖捌),[新聞] 與女友吵架竟放火燒她家 警調監視器揪出,Wed Oct  7 20:24:53 2020
15,3,12,Lucky0105 (洋),[問卦] baby shark為什麼能67億點閱率？,Wed Oct  7 17:52:43 2020
2,0,2,hstf (馬刺贏球就是爽\⊙▽⊙/),[問卦] 以後飛彈是不是改用病毒就好,Fri Oct  2 14:37:36 2020
8,2,6,yhltyy (大堡礁),[問卦] 無事不登三寶殿 是哪三寶,Wed Oct  7 21:07:53 2020
1,0,1,wakaura (wakaura),[問卦] 單身宅適合加入烏伯外送的月費方案嗎？,Fri Oct  2 14:52:48 2020
2,0,2,scum5566 (你好宅),[新聞] 俄羅斯也嚴查中國竊密 俄國科學家被捕面,Fri Oct  2 14:43:53 2020
2,3,-1,a09651238 (可口美味好滋味),[問卦] 拜登超穩了吧？,Fri Oct  2 13:35:25 2020
1,3,-2,bebehome (bebehome),[問卦] 徵兵如果改這樣會不會一堆人簽？,Wed Oct  7 18:44:01 2020
7,1,6,GODLP (神鳥鳳凰),[問卦] 台灣就這麼小 為什麼這麼塞?,Fri Oct  2 15:28:41 2020
9,0,9,turbomons (Τ/taʊ/),[新聞] 豬農百億基金規劃出爐！ 陳吉仲︰46億升,Wed Oct  7 18:47:21 2020
6,1,5,p5360708 (),[新聞] 真．海底撈機車！安全帽、輪框「全面鏽,Fri Oct  2 13:50:23 2020
6,2,4,gs1 (2007/1/4),[問卦] 有沒有蔡康永在幹嘛的八卦 ??,Fri Oct  2 15:11:45 2020
3,0,3,DamnKobe (KoberInNTHU),[問卦] 現在歌頌習近平來得及嗎,Fri Oct  2 13:05:49 2020
32,14,18,autoimmune (..),[新聞] 藍喊台美復交 陳柏惟：可跟中國建交,Wed Oct  7 21:23:38 2020
10,1,9,tsisni (努力步上軌道),[問卦] 特斯拉484很夯?,Wed Oct  7 17:03:12 2020
2,2,0,lichuer (Z揪兒),[問卦] 為什麼8+9這麼愛吃薑母鴨?,Wed Oct  7 20:29:55 2020
2,0,2,qazxc1156892 (QQ),[問卦] 美國總統民調到底要贏多少%才算穩?,Wed Oct  7 21:27:23 2020
12,3,9,Aloee (柯粉),[問卦] 黑人祖宗為何走到亞洲屌就變小了,Wed Oct  7 18:49:16 2020
10,6,4,silentknight (清純男),[問卦] 體育系學弟帶很多酒要來我這喝 該拒絕嗎?,Fri Oct  2 11:42:09 2020
13,0,13,jiouje (JioUje),[問卦] 911事件、川普死於武肺 那個比較嚴重？,Fri Oct  2 13:07:56 2020
5,1,4,nchunerdy120 (batman),[問卦] 川普中鏢 支那現在很爽嗎,Fri Oct  2 13:53:47 2020
13,2,11,HyperPoro (TomorrowIsInYourHands),[問卦] 南韓人均GDP今年會跌破3萬鎂？,Wed Oct  7 16:58:14 2020
4,1,3,ayaneoshi (小坂菜緒は俺の嫁),[問卦] 夜よ 僕に歌わせるなよ,Wed Oct  7 20:52:58 2020
8,7,1,emperor (派蘿派蘿得第一),[新聞] 女兵好悍！ 5字經怒嗆長官遭判罰1萬元,Wed Oct  7 16:58:08 2020
2,1,1,iecju520 (哎依喜德魯),[問卦] 這次武統新聞要掩蓋什麼,Wed Oct  7 20:12:37 2020
10,1,9,kikiki37 (441),[問卦] 冷氣一個人吹和兩個人吹電費有差嗎？,Fri Oct  2 14:12:47 2020
4,3,1,xampp (xampp),[問卦] 拜登超穩的吧,Fri Oct  2 13:53:12 2020
0,0,0,kavinc (↖傲驕✩肥宅↗),[新聞] 爆哭！吳宗憲現場骰子擲到這一面「小鬼真,Wed Oct  7 21:30:11 2020
20,7,13,yniori (偉恩咖肥),[問卦] 現在開始舔共還來的及嗎??,Fri Oct  2 15:14:21 2020
44,7,37,pillliq (o皿o),[新聞] 股市老師line揪團報明牌　3天崩盤16萬賠,Fri Oct  2 11:42:09 2020
0,0,0,alexcai (ACAI),[問卦] 閩南民系漢族的特徵是什麼？,Fri Oct  2 14:44:47 2020
5,5,0,limoncool (中国共产党杀光台独贱畜),[問卦] 現在是不是血洗台灣最佳時機,Fri Oct  2 13:24:04 2020
8,6,2,yoyoflag (伊莉一咻),[新聞] 陳廷寵以中國人為傲 吳斯懷謢航:言論自由,Wed Oct  7 18:43:47 2020
7,3,4,NDSL (NDou112),[問卦] 綠粽跟紫米粽哪個好?,Wed Oct  7 18:32:21 2020
4,1,3,xox5678 (幼幼班),[新聞] 何志偉提美豬總量管制 蔡英文不語、中常,Wed Oct  7 18:07:51 2020
2,4,-2,neiltsang (楚留香雞排),[問卦] 會討論搭捷運討厭的人是不是都南部來的?,Fri Oct  2 13:58:22 2020
3,1,2,royroy666 (老鼠),[問卦] 選前一個月超級震撼彈！！,Fri Oct  2 13:21:47 2020
0,1,-1,stuj9019 (肥宅好吃 ^Q^),[問卦] 滯台美國人會回去投票嗎,Fri Oct  2 12:21:53 2020
8,2,6,funasake (),[問卦] 去日本一定要買什麼東西？,Fri Oct  2 11:31:17 2020
1,0,1,NTUST (國立金城武科技大學),[問卦] Onlyfans有什麼推薦追蹤的帳號嗎？,Fri Oct  2 12:55:11 2020
1,1,0,EmeraldAZ (小穹控),[問卦] 小穹的生日賀卡到啦>< (小穹陣線),Wed Oct  7 18:26:15 2020
9,1,8,ginopun10477 (南瓜薯叔),[問卦] 十個廣告七個是手遊,Fri Oct  2 12:01:16 2020
7,3,4,Davichi5566 (如果從此不見面),[問卦] 去教召查詢系統查自己資料會被紀錄嗎？,Wed Oct  7 19:51:15 2020
91,1,90,littlejackbr (liljb),[問卦] 有匿蹤戰機，怎麼匿蹤飛彈還沒做出來？,Wed Oct  7 17:39:57 2020
22,1,21,Francise (少喝飲料多喝水),[新聞] 竹聯幫內訌！萬華大亂鬥砍死人　賭場利,Wed Oct  7 21:26:36 2020
8,10,-2,norvasc (Norton),[問卦] 跟愛莉莎莎同房一晚給10萬  你ok嗎？,Fri Oct  2 12:37:23 2020
16,9,7,KeepHard (0.0),[問卦] 中國大奶妹全來台灣是不是就和平統一了？,Fri Oct  2 14:27:59 2020
4,0,4,Superxixai (洪粉吱已),[問卦] 社會上阿薩布魯的人也太多了吧？,Wed Oct  7 20:36:21 2020
1,0,1,TakeMyUltra (吃我大絕),[問卦] 川普如果真的中獎了這世界會發生什麼事,Fri Oct  2 13:08:07 2020
6,0,6,chihchingho (松艄辣g),[問卦] 沒人關心伊凡卡嗎？,Fri Oct  2 14:59:52 2020
6,5,1,maybetodo (np),[問卦] 教召14天含放假嗎？,Wed Oct  7 19:55:23 2020
2,0,2,l42857 (~.~),[問卦] 為什麼大學要開放哲學系出來害人,Wed Oct  7 20:14:04 2020
20,2,18,pupss89177 (asshole young),[問卦] 咳三個月了怎麼辦,Wed Oct  7 18:08:47 2020
1,5,-4,kingtama (立志成為唬爛王),[問卦] 地獄會不會只是另一個時空？,Wed Oct  7 20:07:20 2020
5,1,4,Rrrxddd (有噴蛤蜊 RR),[問卦] 是誰發現 香蕉 可以吃的,Wed Oct  7 21:05:22 2020
5,4,1,kevin19528 (kk19528),[問卦] 五行密碼到底是啥？,Fri Oct  2 12:38:54 2020
2,5,-3,QAQer (你為什麼不問我初戀幾歲?),[問卦] 三年級學長特製的蔬菜汁很難喝,Wed Oct  7 16:33:28 2020
31,21,10,kivan00 (Kivan),[新聞] 中芯恐遭斷頭？英媒爆川普押錯籌碼,Fri Oct  2 11:25:27 2020
3,5,-2,aleck0211 (Hitori),川普死前會公開外星人秘密嗎,Fri Oct  2 13:39:37 2020
2,0,2,ptt987654321 (),[爆卦] 川普中標,Fri Oct  2 13:05:58 2020
4,7,-3,david0426 (軒軒寶貝),[問卦] iPhone用兩年 就開始發燙,Wed Oct  7 20:01:48 2020
133,5,128,iamfenixsc (哈囉你好嗎),[問卦] 中共高層看到川普中標在想什麼?,Fri Oct  2 13:27:30 2020
2,0,2,LeonardoChen (LeonardoChen),[問卦] 隔壁女鄰居來借幾包麵？該借嗎,Wed Oct  7 21:29:42 2020
3,1,2,nk1110 (s),[問卦] 日月光的保全班長很爽??,Fri Oct  2 11:49:43 2020
2,1,1,KillerMoDo (你媽知道你在發廢文嗎),[新聞] 獨家》教室冷氣跳電停機一個月 高市國小,Wed Oct  7 18:52:48 2020
1,0,1,shala (沙羅是轉換後的文字檔打m),[問卦] 為何學法律的大多支持廢死？,Wed Oct  7 19:44:42 2020
5,14,-9,wang19980531 (中立評論員),[問卦] 美國連香港都救不了 怎麼幫台灣？,Fri Oct  2 13:28:37 2020
2,0,2,chot (C-hot),[新聞] 川普確診「躺棺材」曝光！美網友貼辛普,Fri Oct  2 14:33:21 2020
7,3,4,Lucky0105 (洋),[問卦] 流氓能買的起c300？賺錢能力超強？,Wed Oct  7 21:03:21 2020
7,9,-2,avpenis123 (),[問卦] 這碗鮭魚親子丼要多少？,Wed Oct  7 18:18:42 2020
3,2,1,ytkuang (就是那個光),[新聞] 逼少年「DIY」 嫌太慢 輔導老師伸手「幫,Wed Oct  7 20:53:55 2020
0,4,-4,david3809 (霜月薰),[問卦] 台男自願加班 有加分嗎？,Wed Oct  7 18:24:59 2020
7,2,5,RINPE (RIN),[問卦] 為什麼開始抽煙？,Wed Oct  7 18:15:13 2020
13,8,5,go190214 (天空之島拉普達),[新聞] 藍營推萊牛卻反萊豬「可不可恥」？ 洪孟,Wed Oct  7 19:51:16 2020
6,0,6,luiGiF (luiGif),[問卦] 宮廟辦桌要怎麼進去蹭飯?,Fri Oct  2 15:05:25 2020
1220,43,1177,Superman007 (),[爆卦] 川普中標,Fri Oct  2 12:55:38 2020
5,0,5,deeeplove (想不到ID),[問卦] 新垣結衣幾歲結婚，鄉民OK爹斯?,Fri Oct  2 12:15:24 2020
2,4,-2,simoncha (茶或咖啡),[問卦] 愛莉莎莎包養你 多少錢可以接受,Fri Oct  2 12:35:23 2020
0,0,0,tose4433 (Remax),[問卦] 在家裡雞腿都是誰吃,Wed Oct  7 21:34:11 2020
18,1,17,eateat14 (SHERLOCKZH),[新聞] 上萬噸事業廢棄物亂丟中彰投 環保掮客羈,Wed Oct  7 19:45:10 2020
0,0,0,oz5566 (威廉。霍恩索倫),[問卦] 日本章魚燒好吃嗎？,Wed Oct  7 21:19:27 2020
9,2,7,iXXXXGAY5566 (我非四叉貓 有恩怨請找牠),[問卦] 曼都髮型是花多少錢請代言人 ?,Wed Oct  7 20:35:16 2020
2,0,2,sunbysea (忠言逆耳良藥苦口),[新聞] 朱利安尼:中共刻意讓病毒破壞世界 形同戰,Wed Oct  7 20:40:10 2020
4,1,3,matatabi (matatabi),[新聞] 慕尼黑房市 泡沫風險冠全球,Wed Oct  7 21:01:04 2020
3,0,3,wakaura (wakaura),[問卦] 應付教召有需要練身體嗎？,Wed Oct  7 20:31:23 2020
11,2,9,demandlonely (樓台下的一盞燈),[問卦] 有人機車騎上快速道路過嗎,Wed Oct  7 17:01:23 2020
0,0,0,nayeonmywife (sanamywife),[問卦] 有沒有Genshin Impact 廣告做得不錯的八,Fri Oct  2 14:29:52 2020
7,1,6,antonysole (辰辰),[問卦] 歷史上有沒有女人做了亡國之君,Fri Oct  2 14:48:00 2020
0,2,-2,dlevel (府城中西里菜),[問卦] 現在不流行清純玉女，而是前衛敢言女生嗎?,Fri Oct  2 11:49:15 2020
0,0,0,amilkamilk (),[新聞] 色教練慣對男童打手槍拍裸照　自稱不只,Fri Oct  2 11:26:50 2020
2,2,0,ergostepo (ergo),[問卦] 共機飛過來  不理它會怎樣嗎？,Wed Oct  7 17:43:44 2020
2,1,1,seabax (seabox),[問卦] 2020爆發WW3是不是機率很高啊?,Fri Oct  2 15:30:06 2020
14,1,13,colset (摳機主教),[新聞] 昌鴻增強為中颱！最新路徑曝光大迴轉北上,Wed Oct  7 20:43:22 2020
4,3,1,qazwsx0128 (*****),[問卦] 台灣人為什麼排斥當兵上戰場呢？,Fri Oct  2 14:05:14 2020
10,7,3,a210510 (嗚嗚~),[問卦] 新竹高鐵站附近機車停車是不是狗幹貴?,Fri Oct  2 12:04:55 2020
2,2,0,milk8144 (>@@<),[問卦] 老闆說因為疫情不辦尾牙了？,Wed Oct  7 18:51:17 2020
8,4,4,tml7415 (國民黨不倒 台灣不會好),[新聞] 「不管你說什麼，我反戰！」龍應台怒批,Wed Oct  7 17:59:13 2020
5,4,1,klm (唐吉柯德的宿命),[問卦] 27歲 人生終於到盡頭了,Wed Oct  7 17:48:16 2020
0,1,-1,ME13 (小鳥),[問卦] 早餐吃烤肉吐司的人多嗎（在線吃,Fri Oct  2 12:25:58 2020
1,2,-1,cutiehoneyzu (McHilo),[問卦] 肥宅學蕭敬騰穿打洞的牛仔褲會變潮男嗎？,Wed Oct  7 20:56:41 2020
4,0,4,leepingyo (御前一品帶刀龍侍衛),[新聞] 失蹤近2年　議員爆：北韓前駐義國趙姓大,Wed Oct  7 16:43:17 2020
1,2,-1,xzcb2008 (嘿嘿我很變態歐),[問卦] 正妹香味從哪來的,Wed Oct  7 19:05:39 2020
1,1,0,Rrrxddd (有噴蛤蜊 RR),[問卦] 尿尿有泡泡,Fri Oct  2 11:53:31 2020
1,3,-2,gotopark (無限風光在險峰),[新聞] 為明年台灣燈會 交通部長林佳龍參訪新竹,Wed Oct  7 19:53:52 2020
19,9,10,asdf1256 (guest),[新聞] 學雜費凍漲15年 私大校長砲轟：干涉大學,Wed Oct  7 18:25:29 2020
2,6,-4,tml7415 (國民黨不倒 台灣不會好),[新聞] 立院初審 調戲同性最高可處6000元罰鍰,Wed Oct  7 17:37:42 2020
5,6,-1,onepunchgg (onepunchgg),[問卦] 怎麼觸發分泌荷爾蒙,Wed Oct  7 19:24:36 2020
9,5,4,doraBBO (天才小釣手),[新聞] 史上首次「撲空」進入枯水期 桃竹苗台中4,Wed Oct  7 18:05:32 2020
2,7,-5,analiya (莉雅),[問卦] 中共到底紀念孫中山幹嘛？,Fri Oct  2 13:46:34 2020
14,0,14,RikaShiguma (RikaShiguma),[新聞] 微軟計畫投資10億美元 雅典建3座資料中心,Wed Oct  7 19:04:34 2020
4,1,3,autokey (該起床啦),[問卦] 一天有10分鐘該訓練何種能力的八卦?,Wed Oct  7 19:44:35 2020
8,1,7,ggian123 (小孩當國文老師打斷他腿),[問卦] 彭斯和賀錦麗誰最有機會當選總統,Fri Oct  2 13:22:43 2020
3,5,-2,Ketsu24 (阿可),[問卦] 有沒有諾貝爾獎排華的八卦？,Wed Oct  7 18:48:33 2020
11,4,7,fragmentwing (片翼碎夢),[新聞] 中山高湖口服務區驚傳隨機砍人 看惡煞一,Wed Oct  7 18:27:16 2020
2,0,2,STAV72 (刁民黨黨務主委),[問卦] 印度仔躺分就對了？,Fri Oct  2 13:28:46 2020
1,0,1,sup5566 (舒跑烏溜溜),[問卦] 川普有權力公佈51區的秘密嗎？,Fri Oct  2 13:45:09 2020
1,0,1,chen740530 (chen740530),[問卦] 現實世界要怎麼拐走有錢人的未婚妻,Fri Oct  2 13:51:32 2020
7,1,6,bennyalen (小周),[問卦] 預購到PS2有多爽？,Fri Oct  2 11:57:30 2020
3,11,-8,ubcs (覺★青年超冒險蓋),[公告]十月份置底閒聊區,Wed Oct  7 16:57:26 2020
1,0,1,Matz (イラマチオ研究員),[問卦] 是先有妹妹還4先有弟弟啊?,Wed Oct  7 20:26:07 2020
25,1,24,henry100 (Henry),[問卦] 最後川普沒事，而梅蘭妮雅GG，會如何？,Fri Oct  2 13:45:29 2020
10,1,9,lockgolden (鎖金),[問卦] PTT十年後會像無名小站那樣關閉嗎?,Fri Oct  2 14:09:32 2020
33,4,29,richshen (哇哈哈),[新聞] 婦科名醫麻醉性侵15分鐘3次 妻揭惡行：他,Wed Oct  7 20:50:28 2020
1,1,0,xxxluke (我手裡拿著小皮鞭),[問卦] 豆導會怎麼拍鬼滅真人版,Wed Oct  7 20:56:43 2020
3,2,1,oscarwu3041 (夢想家的羽毛),[問卦] 辛普森家庭想暗示什麼？,Fri Oct  2 14:25:18 2020
4,6,-2,yolin2012 (yolin),[問卦] 飲料店根本不甩禁用塑膠吸管？,Wed Oct  7 18:22:26 2020
9,1,8,giorno78 (天晴),[問卦] 百度鎖臺灣ip是不是分裂國家？,Wed Oct  7 18:55:45 2020
13,5,8,sukiyasuica (suica),[新聞] 驚險！92歲老翁遭水泥車撞捲進車底 差幾,Wed Oct  7 16:12:53 2020
8,1,7,Ericz7000 (♥安潔莉卡正統老公♥),[問卦] 失去雙手的退役軍人可以做什麼工作？,Wed Oct  7 19:41:11 2020
0,3,-3,MintSu (Simon),[問卦] 要怎麼求雨？,Wed Oct  7 18:24:43 2020
115,17,98,jason486 (Jason),[爆卦] 花敬群:有人把我沒說過的渾話栽贓給我,Wed Oct  7 20:27:57 2020
2,1,1,qazxc1156892 (QQ),[問卦] 川普的十月驚奇是不是夠驚奇？,Fri Oct  2 13:27:56 2020
13,7,6,ilyj2012 (麒麟才子),[新聞] CNN:中國控制住了疫情 如今上億人開始同,Fri Oct  2 13:29:40 2020
4,3,1,takashi01 (中和孔劉),[問卦] 欸欸為何吃火龍果大便會是紅的,Fri Oct  2 11:41:40 2020
1,0,1,LineageM (天堂M),[問卦] 希拉蕊已經準備好了嗎？,Fri Oct  2 13:34:11 2020
2,3,-1,adsl15888 (去留),[問卦] 承認怕死是一種罪???,Fri Oct  2 12:28:30 2020
0,0,0,semih (Sayginer),[新聞] 桃園砸1950萬元辦萬聖節觀光活動 民代批,Wed Oct  7 21:29:43 2020
3,1,2,nonpolar (Nonpolar),[問卦] 現在郵局物流是不是很閒啊？,Wed Oct  7 16:58:46 2020
5,0,5,poeta (鍵盤詩人),[新聞] 許光漢十一發文「睡一下」 遭中網出征扣,Fri Oct  2 11:40:55 2020
6,1,5,teeheehee (軟尾拋拋翔(′・ω・`)),[問卦] 有沒有手很小男生的八卦？,Fri Oct  2 12:04:20 2020
10,2,8,XSR700 (39.8萬不買嗎?),[問卦] 沒人想上戰場，最後應該會統一吧?,Wed Oct  7 21:04:04 2020
10,6,4,ttfan (),[新聞] 陳廷寵辦台商學校年領6000萬政府補助,Fri Oct  2 11:29:54 2020
5,0,5,lpbrother (LP哥(LP = Love & Peace)),[問卦] 為什麼大雄的曾曾孫沒有不見？,Fri Oct  2 11:56:52 2020
4,0,4,dean1990 (狄恩院長),[問卦] 台灣484跟自由行星同盟越來越像惹,Fri Oct  2 12:23:46 2020
4,3,1,aynmeow (我想成為安康魚),[問卦] 我朋友打雪仗害死同事,Wed Oct  7 21:14:56 2020
1,1,0,sober716 (像大樹一樣高),[問卦] 台灣為何沒有UberBike或GrabBike???????,Wed Oct  7 16:47:36 2020
2,3,-1,syearth (sysearth),[問卦] 川普不是自豪美國防疫NO.1 結果自己確診?,Fri Oct  2 13:26:24 2020
6,2,4,Mesenne (姆咪姆咪),[問卦] 店家數學不好的八卦？,Fri Oct  2 13:14:21 2020
1,1,0,chamge7788 (經濟王7887),[問卦] 湯底的四種，鄉民覺得哪個最好,Wed Oct  7 20:57:58 2020
0,0,0,zxc7 (OuO),[問卦] 千千跟lulu怎在比賽大胃王 卦,Fri Oct  2 15:39:37 2020
24,18,6,kaitai (測試),[問卦] 台女寧可老了無人照顧也不願嫁普台男?,Wed Oct  7 17:05:57 2020
0,0,0,echoo (回聲O),[問卦] 澎湖的街景怎麼能那麼乾淨,Wed Oct  7 21:33:13 2020
19,2,17,jeff785chen (raincat29),[問卦] 到好市多有什麼必買的,Wed Oct  7 17:12:19 2020
12,2,10,TPDC (                 ),[新聞] 疑女友中秋夜跑去跟新歡烤肉 醋男尾隨撂,Fri Oct  2 12:12:57 2020
1,1,0,kone33221 (阿揪),[問卦] 有沒有長大就不挑食的八卦,Wed Oct  7 19:15:06 2020
7,0,7,colorless (colorless),[新聞] 諾貝爾化學獎 2名女學者研究基因編輯共享殊榮,Wed Oct  7 17:58:04 2020
4,0,4,RachelMcAdam (瑞秋賣燈絲),[問卦] 鐵板紅藍州的美國選民在想什麼？,Wed Oct  7 18:11:36 2020
1,0,1,Gorbachev (戈巴契夫頭髮最長!),[問卦] 不管我的靈魂 困在哪個肉身...,Wed Oct  7 18:03:33 2020
24,4,20,k90209 (k90209),[問卦] 南部這樣的內容物 110合理嗎？,Wed Oct  7 19:48:53 2020
1,1,0,DCHC (純愛基本教義派♥),[新聞] 國民黨團提案「台美回復邦交」 立法院無,Wed Oct  7 18:23:56 2020
16,2,14,Government (政府),[問卦] 新娘來敬酒 拉住我衣袖又放開讓我走 怎辦,Fri Oct  2 11:39:28 2020
61,26,35,yank0612 (魯宅),[爆卦] 支那垃圾賤畜集體高潮,Fri Oct  2 14:10:22 2020
5,0,5,autokey (該起床啦),[問卦] 吳剛跟嫦娥怎麼在月球上烤肉,Fri Oct  2 11:31:51 2020
1,0,1,kingtama (立志成為唬爛王),[問卦] 融資是什麼意思阿,Wed Oct  7 20:26:12 2020
14,5,9,frogcty (小蛙),[問卦] 內湖區的東湖大停電，能幹嘛,Wed Oct  7 19:13:47 2020
4,2,2,wang19980531 (中立評論員),[問卦] 在台灣活得這麼爽 台灣哪可能輸出？,Wed Oct  7 18:08:03 2020
8,3,5,songgood (ilovegoodgame),[新聞] 違規左轉害死重機大學生情侶檔 預拌水泥,Wed Oct  7 18:20:30 2020
23,5,18,saiulbb (#KEEP MLB GREAT!),[問卦] 露營初新手從哪開始起步比較好的八卦阿？,Wed Oct  7 20:29:12 2020
1,0,1,tatty5566 ( ),[問卦] 有沒有拉姆齊Ramsay的八卦,Fri Oct  2 11:55:11 2020
1,2,-1,KahoJyumonji (Kahojyumonji),[新聞] 平林社區性平小旅行 帶動疫情後雙溪觀光,Wed Oct  7 20:41:07 2020
3,1,2,ntpuisbest (阿龍),[問卦] 每個診所醫生都台大主治的八卦,Fri Oct  2 13:21:36 2020
19,0,19,iamshana (CANINE力集中在一些重要S),[新聞] 「深入敵營」你儂我儂親密互動 林俊憲親,Fri Oct  2 14:14:41 2020
11,2,9,godgan (大俠巴西龜),[問卦] 有沒有哆啦a夢在武肺期間還破紀錄的八卦,Wed Oct  7 16:56:10 2020
2,0,2,qazxc1156892 (QQ),[問卦] 侯昌明的代表作是什麼?,Wed Oct  7 21:33:51 2020
6,2,4,w510048 (黨的恩情比山高),[問卦] 無人機是不是證明戰車坦克真的無用了??,Wed Oct  7 18:03:31 2020
14,2,12,GGINDOWBOW (吃肥肥裝頹頹),[問卦] 蛋黃酥是不是月餅中的經典？,Fri Oct  2 12:20:45 2020
7,0,7,Arim (億載金城武),[問卦] 台灣主權未定論的說法是不是有問題呢？,Fri Oct  2 11:46:55 2020
9,4,5,thegreatlcx (體制就跟五樓屁股一樣),[問卦] 以後要叫子孫燒獵人還是浪人劍客?,Wed Oct  7 16:38:04 2020
76,4,72,ok8752665 ()()()()()()()()()()()(),[問卦] 川普死掉會怎樣,Fri Oct  2 13:15:19 2020
6,0,6,linhsiuwei (清心寡慾的天煞孤星),[問卦] 感覺行為沉淪了怎麼辦,Fri Oct  2 12:13:50 2020
4,1,3,Starcraft3 (小藥丸),[新聞] 又出包!實名制口罩僅2層沒有熔噴不織布,Wed Oct  7 21:10:09 2020
14,1,13,brokenback3 (3),[問卦] 川普第一次參加選舉就能當選美國總統？,Fri Oct  2 11:25:50 2020
19,2,17,andy199113 (Andy),[新聞] 男拾獲疑「龍涎香」石頭 鑑定結果出爐「,Wed Oct  7 21:10:34 2020
16,3,13,GPX2020 (幹話小天使),[問卦] 金剛:骷顱島 它:第二隻 這種片都誰在看的,Wed Oct  7 19:44:41 2020
6,3,3,sowbox (sowbox),[問卦] 家裡跑出野生螃蟹怎麼辦,Wed Oct  7 19:20:08 2020
0,0,0,GeraldLiu (wolver),[問卦] 連罵人的嘴型也要馬賽克了嗎？,Fri Oct  2 13:33:54 2020
3,0,3,KENDO777 (KENDO777),[問卦] 病毒戰有多可怕,Fri Oct  2 13:18:54 2020
46,2,44,ak47box (陽光黃金蛋),[新聞] 高市國小冷氣跳電停機1個月！網讚柯文哲,Wed Oct  7 21:06:33 2020
23,0,23,kimi102240 (kiwibaby),[協尋] 瑞光路一段 民生東路 行車記錄器,Mon Sep 28 19:17:18 2020
6,1,5,crassus7217 (肯德鴨),[問卦] 哈根達斯到底貴不貴阿??,Wed Oct  7 17:57:46 2020
6,2,4,voohong (SE Asia Fat Nerd),[問卦] 同事出去烤肉你自己留下來吃肯德基,Fri Oct  2 13:11:32 2020
4,3,1,fawangching (陽光宅叔),[問卦] 退伍超過八年到底會不會被教召？,Wed Oct  7 19:14:19 2020
2,4,-2,s37166117 (ace),[問卦] 嘴唇乾裂怎麼辦,Wed Oct  7 21:05:30 2020
6,1,5,Toyosushij (Toyosushij),[新聞] 「今晚我想來點....」毒蟲異想天開 竟偽,Fri Oct  2 12:01:48 2020
9,3,6,semna (11),[問卦] 台灣人一輩子要看幾遍食神？,Fri Oct  2 15:06:48 2020
30,6,24,i2taiwan (),[問卦] 台灣484押錯邊了?,Fri Oct  2 14:52:55 2020
42,5,37,kimura0701 (一天要喝3千cc的水),[問卦] 田壘居然還是現役選手？,Wed Oct  7 16:17:49 2020
6,1,5,lichuer (Z揪兒),[問卦] 開店賣薑母鴨好賺嗎?,Wed Oct  7 20:20:50 2020
2,0,2,Usayhiisayha (【〖《〔（{`}）〕》〗】),[問卦] 同事出去烤肉你自己留下來吃肯德基,Fri Oct  2 13:14:57 2020
2,3,-1,DCHC (純愛基本教義派♥),[問卦] 該挺亞美尼亞 還是亞塞拜然?,Fri Oct  2 11:58:38 2020
2,0,2,zoocouple (stillstriving),[問卦] 有沒有彭恰恰個人債務問題的八卦,Wed Oct  7 17:46:29 2020
7,0,7,awestricken (竹子),[問卦] 欸 在麥當勞丟垃圾 不分類的都什麼人,Wed Oct  7 18:19:59 2020
11,3,8,TZUYIC (Celine-Flying On My Own),[新聞] 何志偉綠中常會提美豬總量管制 莊瑞雄：,Wed Oct  7 20:26:18 2020
3,2,1,chen0625 (不知道要打什麼？),[問卦] 中國現在在想什麼？,Fri Oct  2 13:44:14 2020
1,7,-6,Rimi5566 (布口以欺付里美),[問卦] 101國慶日出生要取什麼名字,Fri Oct  2 12:01:43 2020
10,3,7,erik8866 (Eric),[問卦] 年輕人月光族因為很愛享受?,Fri Oct  2 12:07:27 2020
26,3,23,skycolor2 (dantuy),[問卦] 志玲姐姐說的雙節合一是哪雙節？,Fri Oct  2 11:27:53 2020
7,3,4,Darvish903 (頭髮捲慘了),[問卦] 為什麼8+9的女人都這麼瘦啊？,Fri Oct  2 15:26:33 2020
12,0,12,aftercome86 (竹炭),[問卦] 可以拿新槍  大家4不4很開心?,Wed Oct  7 18:04:16 2020
3,6,-3,cake10414 (Peter),[新聞] 台南黃金海岸淪垃圾海岸　中國媒體諷：這,Wed Oct  7 21:18:40 2020
47,3,44,ll6a (老成a~),[問卦] 川普打悲情牌會有人買單嗎？,Fri Oct  2 14:34:22 2020
10,1,9,qaz90427 (總有說不完的回收故事),[問卦] 記憶體2133 2666 3200差別在哪?????掛???,Fri Oct  2 12:35:27 2020
10,3,7,hello456 (好無聊......),[新聞] 「天然木瓜牛奶」論壇約壞 一伸手下秒慘,Fri Oct  2 13:05:09 2020
62,0,62,HappyDiD (開心的動一動),[問卦] 日本章魚燒好吃嗎？,Wed Oct  7 16:58:36 2020
